x,y,z
15.0,15.0,0.0
15.0,15.0,0.1595744680851064
15.0,15.0,0.3191489361702128
15.0,15.0,0.47872340425531923
15.0,15.0,0.6382978723404256
15.0,15.0,0.7978723404255319
15.0,15.0,0.9574468085106382
15.0,15.0,1.1170212765957446
15.0,15.0,1.276595744680851
15.0,15.0,1.4361702127659572
15.0,15.0,1.5957446808510636
15.0,15.0,1.75531914893617
15.0,15.0,1.9148936170212765
15.0,15.0,2.074468085106383
15.0,15.0,2.2340425531914896
15.0,15.0,2.393617021276596
15.0,15.0,2.5531914893617027
15.0,15.0,2.712765957446809
15.0,15.0,2.872340425531916
15.0,15.0,3.031914893617022
15.0,15.0,3.1914893617021285
15.0,15.0,3.351063829787235
15.0,15.0,3.510638297872341
15.0,15.0,3.670212765957448
15.0,15.0,3.8297872340425543
15.0,15.0,3.989361702127661
15.0,15.0,4.148936170212767
15.0,15.0,4.308510638297874
15.0,15.0,4.46808510638298
15.0,15.0,4.627659574468087
15.0,15.0,4.787234042553194
15.0,15.0,4.9468085106383
15.0,15.0,5.106382978723406
15.0,15.0,5.265957446808513
15.0,15.0,5.42553191489362
15.0,15.0,5.585106382978726
15.0,15.0,5.7446808510638325
15.0,15.0,5.904255319148939
15.0,15.0,6.063829787234046
15.0,15.0,6.223404255319152
15.0,15.0,6.382978723404258
15.0,15.0,6.542553191489364
15.0,15.0,6.70212765957447
15.0,15.0,6.8617021276595755
15.0,15.0,7.021276595744681
15.0,15.0,7.180851063829787
15.0,15.0,7.340425531914893
15.0,15.0,7.499999999999999
15.0,15.0,7.659574468085104
15.0,15.0,7.81914893617021
15.0,15.0,7.978723404255316
15.024977480087722,14.938820424645156,8.138297872340422
15.061920925524218,14.883239309736751,8.297872340425528
15.109902296180236,14.835006606606518,8.457446808510634
15.167766795546106,14.795737077406846,8.61702127659574
15.234151157275578,14.766882842009007,8.776595744680845
15.307505110986131,14.749708280212579,8.936170212765951
15.386115734456984,14.745267645833527,9.095744680851057
15.468134360355442,14.754385713788825,9.255319148936163
15.55160567081231,14.777641741663672,9.414893617021269
15.634498582998422,14.815356983922605,9.574468085106375
15.714738503711558,14.867585950442978,9.73404255319148
15.790240511189351,14.934111551982543,9.893617021276587
15.858943008178645,15.014444224149003,10.053191489361692
15.91884138190555,15.107825069050294,10.212765957446798
15.968021204123966,15.213233000719883,10.372340425531902
16.004690507922213,15.329395827290973,10.531914893617008
16.02721068741337,15.454805150399372,10.691489361702114
