x,y,z
2.5,2.5,0.0
2.5,2.5,0.005
2.5,2.5,0.01
2.5,2.5,0.015
2.5,2.5,0.02
2.5,2.5,0.025
2.5,2.5,0.03
2.5,2.5,0.035
2.5,2.5,0.04
2.5,2.5,0.045
2.5,2.5,0.05
2.5,2.5,0.055
2.5,2.5,0.06
2.5,2.5,0.065
2.5,2.5,0.07
2.5,2.5,0.075
2.5,2.5,0.08
2.5,2.5,0.085
2.5,2.5,0.09
2.5,2.5,0.095
2.5,2.5,0.1
2.5,2.5,0.105
2.5,2.5,0.11
2.5,2.5,0.115
2.5,2.5,0.12
2.5,2.5,0.125
2.5,2.5,0.13
2.5,2.5,0.135
2.5,2.5,0.14
2.5,2.5,0.145
2.5,2.5,0.15
2.5,2.5,0.155
2.5,2.5,0.16
2.5,2.5,0.165
2.5,2.5,0.17
2.5,2.5,0.175
2.5,2.5,0.18
2.5,2.5,0.185
2.5,2.5,0.19
2.5,2.5,0.195
2.5,2.5,0.2
2.5,2.5,0.205
2.5,2.5,0.21
2.5,2.5,0.215
2.5,2.5,0.22
2.5,2.5,0.225
2.5,2.5,0.23
2.5,2.5,0.235
2.5,2.5,0.24
2.5,2.5,0.245
2.5,2.5,0.25
2.5,2.5,0.255
2.5,2.5,0.26
2.5,2.5,0.265
2.5,2.5,0.27
2.5,2.5,0.275
2.5,2.5,0.28
2.5,2.5,0.285
2.5,2.5,0.29
2.5,2.5,0.295
2.5,2.5,0.3
2.5,2.5,0.305
2.5,2.5,0.31
2.5,2.5,0.315
2.5,2.5,0.32
2.5,2.5,0.325
2.5,2.5,0.33
2.5,2.5,0.335
2.5,2.5,0.34
2.5,2.5,0.345
2.5,2.5,0.35
2.5,2.5,0.355
2.5,2.5,0.36
2.5,2.5,0.365
2.5,2.5,0.37
2.5,2.5,0.375
2.5,2.5,0.38
2.5,2.5,0.385
2.5,2.5,0.39
2.5,2.5,0.395
2.5,2.5,0.4
2.5,2.5,0.405
2.5,2.5,0.41
2.5,2.5,0.415
2.5,2.5,0.42
2.5,2.5,0.425
2.5,2.5,0.43
2.5,2.5,0.435
2.5,2.5,0.44
2.5,2.5,0.445
2.5,2.5,0.45
2.5,2.5,0.455
2.5,2.5,0.46
2.5,2.5,0.465
2.5,2.5,0.47
2.5,2.5,0.475
2.5,2.5,0.48
2.5,2.5,0.485
2.5,2.5,0.49
2.5,2.5,0.495
2.5,2.5,0.5
2.5,2.5,0.505
2.5,2.5,0.51
2.5,2.5,0.515
2.5,2.5,0.52
2.5,2.5,0.525
2.5,2.5,0.53
2.5,2.5,0.535
2.5,2.5,0.54
2.5,2.5,0.545
2.5,2.5,0.55
2.5,2.5,0.555
2.5,2.5,0.56
2.5,2.5,0.565
2.5,2.5,0.57
2.5,2.5,0.575
2.5,2.5,0.58
2.5,2.5,0.585
2.5,2.5,0.59
2.5,2.5,0.595
2.5,2.5,0.6
2.5,2.5,0.605
